Time, humidity, pressure, temperature, counts of .3, counts of .5, counts of 1.0 counts of 2.5, counts of 10
2021-11-28 20:16:49.327402, 52.47608344113819, 1007.528146418541, 20.830966810049723, 	672, 170,	46, 8, 	2
2021-11-28 20:17:20.652975, 52.870368984793984, 1007.5484900129566, 20.470281757996418, 	672, 170,	46, 8, 	2
2021-11-28 20:17:50.681132, 53.306269650030465, 1007.5521568824181, 20.048637712100753, 	672, 170,	46, 8, 	2
2021-11-28 20:18:20.731070, 54.282924540994806, 1007.6063653334174, 19.591435590718174, 	720, 190,	50, 8, 	2
2021-11-28 20:18:50.780972, 55.58077757996983, 1007.5303014093921, 19.205355635198067, 	720, 190,	50, 8, 	2
2021-11-28 20:19:20.831008, 57.6314446197071, 1007.6067685687705, 18.66179854723159, 	720, 190,	50, 8, 	2
2021-11-28 20:19:50.881077, 59.26530217570096, 1007.5718884631392, 18.184283854905516, 	738, 196,	52, 8, 	2
2021-11-28 20:20:20.931069, 60.53323169529442, 1007.5292097076256, 17.85408902904601, 	738, 196,	52, 8, 	2
2021-11-28 20:20:50.981165, 61.00192056904562, 1007.5814136188135, 17.650892824312905, 	738, 196,	52, 8, 	2
2021-11-28 20:21:21.031129, 62.29961032777333, 1007.5749679399596, 17.528975324990462, 	732, 186,	48, 8, 	2
2021-11-29 08:35:02.850886, 79.85440754188552, 1008.8289081787078, 9.7469218389655, 	300, 84,	8, 0, 	0
2021-11-29 08:45:03.443708, 78.95920360355817, 1009.1444156050592, 10.107563269906677, 	300, 84,	8, 0, 	0
