Time, humidity, pressure, temperature, counts of .3, counts of .5, counts of 1.0, counts of 2.5, counts of 10
2021-11-30 05:55:05.611360, 93.37212299756517, 1008.541684595276, 7.77611852652044, 		1494, 416,		42, 0, 		0
2021-11-30 06:05:06.420990, 93.07904329742142, 1008.5555504728962, 7.735483867680887, 		1494, 416,		42, 0, 		0
2021-11-30 06:15:06.541001, 93.32418068234895, 1008.7041897802508, 7.532310852879891, 		1494, 416,		42, 0, 		0
2021-11-30 06:25:06.661031, 91.97253621020688, 1008.8034037687023, 8.085958412662148, 		1518, 430,		52, 2, 		0
2021-11-30 06:35:06.691886, 93.04519897797074, 1009.0629688655767, 7.557707454264164, 		1518, 430,		52, 2, 		0
2021-11-30 06:45:06.771874, 93.1536704112474, 1009.0726448191023, 7.694849227467785, 		1518, 430,		52, 2, 		0
2021-11-30 06:55:06.851892, 92.41945546643551, 1009.0129164895205, 8.035164914489723, 		1566, 442,		56, 2, 		0
2021-11-30 07:05:06.871891, 93.51180915161915, 1008.9748605539131, 7.339296920137713, 		1566, 442,		56, 2, 		0
2021-11-30 07:15:06.991956, 93.20968988848311, 1009.1383843180238, 7.227552203793311, 		1566, 442,		56, 2, 		0
2021-11-30 07:25:07.091879, 93.84940764083103, 1009.341952150577, 7.075173272151733, 		1710, 480,		62, 6, 		0
2021-11-30 07:35:07.171880, 94.11199187848051, 1009.486106947597, 7.0497768090106545, 		1710, 480,		62, 6, 		0
2021-11-30 07:45:07.280734, 94.05494350398776, 1009.5397398757138, 6.821208968159044, 		1710, 480,		62, 6, 		0
